Memory type;RAM;;;;;;;;;;;;;;;;;;;
Block Size;60 b;;;;;;;;;;;;;;;;;;;
Element type;char;;;;;;;;;;;;;;;;;;;
BufferSize;1;;;;;;;;;;;;;;;;;;;
LaunchNum;0;1;2;3;4;5;6;7;8;9;;;;;;;;;;
Timer;std::chrono::high_resolution_clock::now;;;;;;;;;;;;;;;;;;;
AverageWriteTime;3400;;;;;;;;;;;;;;;;;;;
WriteTime;4300;3400;3100;3200;4900;3100;3300;3200;2800;2700;;;;;;;;;;
WriteBandWidth;17647.1;;;;;;;;;;;;;;;;;;;
AbsError(write);900;0;300;200;1500;300;100;200;600;700;;;;;;;;;;
RelError(write);26.4706;0;8.82353;5.88235;44.1176;8.82353;2.94118;5.88235;17.6471;20.5882;;;;;;;;;;
AverageReadTime;3420;;;;;;;;;;;;;;;;;;;
ReadTime;5700;3300;3000;2900;3400;3100;3200;3200;3200;3200;;;;;;;;;;
ReadBandWidth;17543.9;;;;;;;;;;;;;;;;;;;
AbsError(read);2280;120;420;520;20;320;220;220;220;220;;;;;;;;;;
RelError(read);66.6667;3.50877;дек.07;15.2047;0.584795;9.35673;6.43275;6.43275;6.43275;6.43275;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Memory type;RAM;;;;;;;;;;;;;;;;;;;
Block Size;124 b;;;;;;;;;;;;;;;;;;;
Element type;char;;;;;;;;;;;;;;;;;;;
BufferSize;1;;;;;;;;;;;;;;;;;;;
LaunchNum;0;1;2;3;4;5;6;7;8;9;;;;;;;;;;
Timer;std::chrono::high_resolution_clock::now;;;;;;;;;;;;;;;;;;;
AverageWriteTime;9200;;;;;;;;;;;;;;;;;;;
WriteTime;9700;8400;9200;9900;10300;10500;8700;9300;9000;7000;;;;;;;;;;
WriteBandWidth;13478.3;;;;;;;;;;;;;;;;;;;
AbsError(write);500;800;0;700;1100;1300;500;100;200;2200;;;;;;;;;;
RelError(write);5.43478;8.69565;0;июл.87;ноя.65;14.1304;5.43478;1.08696;2.17391;23.913;;;;;;;;;;
